filenmelanomame,result
140_m_or_nm (35).jpg,melanoma
141_m_or_nm (14).jpg,melanoma
142_nm_or_m (109).jpg,melanoma
143_m_or_nm (39).jpg,melanoma
144_m_or_nm (122).jpg,melanoma
145_m_or_nm (123).jpg,melanoma
146_m_or_nm (44).jpg,melanoma
147_m_or_nm (115).jpg,
148_m_or_nm (3).jpg,melanoma
149_m_or_nm (117).jpg,melanoma
150_m_or_nm (95).jpg,melanoma
151_m_or_nm (124).jpg,melanoma
152_m_or_nm (108).jpg,
153_m_or_nm (32).jpg,melanoma
154_m_or_nm (57).jpg,melanoma
155_m_or_nm (78).jpg,melanoma
156_m_or_nm (64).jpg,melanoma
157_m_or_nm (102).jpg,melanoma
158_m_or_nm (110).jpg,melanoma
159_m_or_nm (45).jpg,melanoma
160_m_or_nm (47).jpg,melanoma
161_m_or_nm (36).jpg,melanoma
162_m_or_nm (80).jpg,melanoma
163_m_or_nm (60).jpg,melanoma
164_m_or_nm (16).jpg,melanoma
165_m_or_nm (34).jpg,melanoma
166_m_or_nm (116).jpg,melanoma
167_m_or_nm (119).jpg,melanoma
168_m_or_nm (4).jpg,melanoma
169_m_or_nm (68).jpg,melanoma
170_m_or_nm (121).jpg,melanoma
171_m_or_nm (113).jpg,not melanoma
172_m_or_nm (93).jpg,melanoma
173_m_or_nm (51).jpg,melanoma
174_m_or_nm (5).jpg,not melanoma
175_m_or_nm (63).jpg,melanoma
176_m_or_nm (62).jpg,melanoma
177_m_or_nm (76).jpg,melanoma
178_m_or_nm (64).jpg,melanoma
179_m_or_nm (59).jpg,melanoma
180_m_or_nm (48).jpg,
181_m_or_nm (31).jpg,melanoma
182_m_or_nm (28).jpg,melanoma
183_m_or_nm (73).jpg,melanoma
184_m_or_nm (89).jpg,not melanoma
185_m_or_nm (27).jpg,melanoma
186_m_or_nm (80).jpg,melanoma
187_m_or_nm (4).jpg,melanoma
188_m_or_nm (35).jpg,melanoma
189_m_or_nm (66).jpg,melanoma
190_m_or_nm (108).jpg,melanoma
191_m_or_nm (20).jpg,melanoma
192_m_or_nm (24).jpg,melanoma
193_m_or_nm (49).jpg,melanoma
194_m_or_nm (33).jpg,melanoma
195_m_or_nm (98).jpg,melanoma
196_m_or_nm (58).jpg,melanoma
197_m_or_nm (18).jpg,melanoma
198_m_or_nm (90).jpg,not melanoma
199_m_or_nm (12).jpg,not melanoma
200_m_or_nm (52).jpg,
201_m_or_nm (2).jpg,melanoma
202_m_or_nm (48).jpg,melanoma
203_m_or_nm (95).jpg,melanoma
204_m_or_nm (85).jpg,melanoma
205_m_or_nm (62).jpg,melanoma
206_m_or_nm (23).jpg,melanoma
207_m_or_nm (87).jpg,melanoma
208_m_or_nm (88).jpg,melanoma
209_m_or_nm (77).jpg,not melanoma
210_m_or_nm (25).jpg,melanoma
211_m_or_nm (94).jpg,melanoma
212_m_or_nm (103).jpg,melanoma
213_m_or_nm (57).jpg,melanoma
214_m_or_nm (51).jpg,melanoma
215_m_or_nm (76).jpg,melanoma
216_m_or_nm (16).jpg,not melanoma
217_m_or_nm (40).jpg,not melanoma
218_m_or_nm (99).jpg,melanoma
219_m_or_nm (72).jpg,not melanoma
220_m_or_nm (54).jpg,melanoma
221_m_or_nm (115).jpg,melanoma
222_m_or_nm (91).jpg,melanoma
223_m_or_nm (45).jpg,melanoma
224_m_or_nm (18).jpg,melanoma
225_m_or_nm (70).jpg,melanoma
226_m_or_nm (65).jpg,melanoma
227_m_or_nm (124).jpg,melanoma
228_m_or_nm (90).jpg,melanoma
229_m_or_nm (103).jpg,melanoma
230_m_or_nm (86).jpg,not melanoma
231_m_or_nm (39).jpg,melanoma
232_m_or_nm (1).jpg,melanoma
233_m_or_nm (114).jpg,melanoma
234_m_or_nm (63).jpg,melanoma
235_m_or_nm (14).jpg,
236_m_or_nm (111).jpg,melanoma
237_m_or_nm (68).jpg,melanoma
238_m_or_nm (101).jpg,not melanoma
239_m_or_nm (92).jpg,melanoma
240_nm_or_m (37).jpg,melanoma
241_m_or_nm (9).jpg,melanoma
242_m_or_nm (10).jpg,
243_m_or_nm (71).jpg,melanoma
244_m_or_nm (20).jpg,melanoma
245_m_or_nm (112).jpg,melanoma
246_m_or_nm (42).jpg,melanoma
247_m_or_nm (125).jpg,melanoma
248_m_or_nm (120).jpg,melanoma
249_m_or_nm (67).jpg,melanoma
